year,ISO_code,Country,ECONOMIC FREEDOM,rank,quartile,1a_government_consumption,1b_transfers,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4b_regulatory_trade_barriers,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2015,HUN,Hungary,7.19,65,2,3.270588235,5.29140008,4,6.5,4.765497079,3.570654812,3.058389941,3.117309385,10,6.666666667,6.576328444,8.025707157,5.544871489,7.785865561,1,6.038421495,8.262655762,9.718109707,9.985943505,10,9.491677243,8.360586579,7.319333723,10,5.955644098,7.9088911,9.725,7.18135995,6.26259925,7.7229864
2015,ISL,Iceland,7.25,59,2,2.305882353,7.957880124,8,3.5,5.440940619,7.846820747,7.040047101,8.048759546,10,10,6.775094571,8.750492215,9.012345473,8.576845364,1,8.450045002,9.613030809,9.395090975,9.673743017,0,7.1704662,7.264,7.10995354,10,4.2193901,7.14833591,8.333333333,7.704275878,8.060434799,8.032681337
2015,IND,India,6.61,98,3,7.317647059,8.977771391,7,8,7.823854613,5.514435254,5.857644216,4.902953005,6.666666667,7.5,2.593854408,6.584439158,6.226054033,5.601002391,0.783783784,5.09835622,9.77804308,8.796238409,8.825514681,5,8.099949043,6.255911111,3.915820039,10,2.063445767,5.55879423,6.586,6.461594908,6.339489214,6.462361374
2015,IDN,Indonesia,7,75,2,7.470588235,9.120230308,7,7.5,7.772704636,5.121916127,4.893803499,5.59301049,4.166666667,4.166666667,1.914978802,5.93207953,5.529411634,4.894431405,0.926829268,4.518732007,9.399968827,9.319185598,8.727375774,10,9.36163255,8.072311111,4.667601679,10,5.217813027,6.989431454,8.073666667,4.560802505,6.39502224,6.343163804
2015,IRN,Iran,5.4,149,4,5.838235294,7.989100817,6,10,7.456834028,4.19126778,3.743238445,4.757041383,7.5,6.666666667,5.625799005,7.899555098,5.499002139,5.629288059,0.585365854,4.536952314,,,,10,,4.066666667,2.651873727,10,1.416421864,4.533740564,4.675666667,4.96686933,5.581816727,5.074784241
2015,IRQ,Iraq,,,,,,,,,,,,,,,,,,,,6.304900363,4.383300444,7.258840049,,,,,,,,,,,
2015,IRL,Ireland,8.25,5,1,3.823529412,7.013149827,10,4.5,6.33416981,8.985318448,6.328374219,8.649646971,10,10,3.931480739,8.582895926,8.513513406,6.992016663,1,7.998138486,8.966415517,9.232100002,9.941080196,10,9.534898929,8.360586579,8.234138709,10,8.457363652,8.763022235,9.142,8.132487257,8.578503721,8.617663659
2015,ISR,Israel,7.47,38,1,3.188235294,6.733057856,10,5,6.230323288,8.520297029,5.723570607,7.300061197,4.166666667,8.333333333,3.462740316,5.740858494,6.798245907,6.595645262,0.948717949,6.132119415,8.537725604,9.557762053,9.873375541,10,9.4922158,8.244666667,6.632352321,10,7.572351753,8.112342685,9.571333333,5.383097931,7.198991962,7.384474409
2015,ITA,Italy,7.31,55,2,4.797058824,3.456202044,10,3.5,5.438315217,4.715953952,2.256357837,4.99201509,10,6.666666667,3.596415071,8.251282756,5.527777672,4.976763206,1,5.664803584,9.140785299,9.830635893,9.99224265,10,9.740915961,8.360586579,8.073359609,10,6.593150379,8.256774142,9.535666667,6.766443798,6.105087922,7.469066129
2015,JAM,Jamaica,7.25,59,2,7.482352941,8.377776974,7,7,7.465032479,6.474387651,4.049434865,6.180556832,10,4.166666667,3.548887988,6.4384436,4.646464586,2.20179914,0.945945946,5.157474738,5.879647956,9.595066177,9.264565789,10,8.68481998,5.772888889,6.178636216,10,6.206531234,7.039514085,9.56,7.85661196,6.316743078,7.911118346
